x,y,theta
2.45,1.1,1.5707963267948966
2.439417992107444,1.1740778668073035,1.845453571096249
2.407912219611698,1.2507728514664136,2.058131728330809
2.356195805954287,1.3323900447009445,2.198529373944463
2.2854321343101813,1.4206381889614148,2.285609414947916
2.197198075472927,1.5163983751903678,2.339766437816479
2.0934343928543266,1.6195664875630382,2.375643888964636
1.9763851245393163,1.7289837513441213,2.40296275430629
1.8485281374238571,1.8424621202458749,2.4283487592719464
1.7124993604923429,1.9569030335113846,2.4567295504136597
1.5710134215322502,2.068499986460635,2.492302986998387
1.4267835259362969,2.1730080882674603,2.539256252954972
1.282443423541471,2.2660579538683074,2.602360453032359
1.1404742096297187,2.343487395503198,2.6874478201987326
1.003138503291532,2.401662778329258,2.801526099516637
0.8724242482946654,2.4377627223664677,2.95172980398571
0.75,2.4499999999999997,3.141592653589793
0.6371831115037196,2.4377627223664677,-2.918979803263829
0.5349217304528244,2.4016627783292583,-2.6850196314465213
0.443790984219009,2.343487395503198,-2.4670186551964064
0.36400318586525543,2.2660579538683074,-2.282793550825392
0.29543135755390226,2.1730080882674603,-2.135845521942587
0.23764486228520515,2.0684999864606355,-2.021221067936612
0.18995547849959354,1.9569030335113853,-1.9317746373068307
0.15147186257614303,1.842462120245875,-1.861081299836214
0.1211600364687477,1.7289837513441213,-1.804134585470355
0.09790732332821815,1.6195664875630382,-1.7572147077551552
0.08058704103687467,1.516398375190368,-1.7175753333903527
0.06812125628309271,1.4206381889614148,-1.6831588632993175
0.05953900019698585,1.3323900447009445,-1.6523861141811986
0.05402754664394516,1.2507728514664138,-1.6240191618345214
0.05097464809417149,1.1740778668073035,-1.597080798851355
0.050000000000000044,1.1000000000000003,-1.5707963267948966
0.05097464809417129,1.0259221331926967,-1.5445118547384384
0.054027546643945185,0.9492271485335865,-1.517573491755272
0.059539000196985686,0.867609955299056,-1.4892065394085947
0.06812125628309279,0.7793618110385855,-1.4584337902904756
0.08058704103687456,0.6836016248096324,-1.4240173201994406
0.09790732332821817,0.5804335124369624,-1.3843779458346381
0.1211600364687477,0.4710162486558791,-1.3374580681194383
0.15147186257614284,0.35753787975412554,-1.2805113537535795
0.1899554784995931,0.24309696648861612,-1.2098180162829633
0.23764486228520493,0.13150001353936508,-1.1203715856531815
0.29543135755390215,0.026991911732540327,-1.0057471316472066
0.36400318586525493,-0.0660579538683068,-0.8587991027644024
0.44379098421900876,-0.14348739550319728,-0.6745739983933873
0.534921730452824,-0.2016627783292579,-0.45657302214327306
0.6371831115037199,-0.2377627223664676,-0.22261285032596373
0.7499999999999998,-0.24999999999999986,-3.9035616722821893e-16
0.8724242482946645,-0.23776272236646762,0.18986284960408195
1.003138503291532,-0.20166277832925822,0.340066554073156
1.140474209629718,-0.1434873955031976,0.45414483339106004
1.2824434235414712,-0.06605795386830718,0.5392322005574341
1.4267835259362964,0.026991911732539942,0.6023364006348212
1.5710134215322495,0.1315000135393647,0.6492896665914057
1.7124993604923429,0.24309696648861565,0.6848631031761334
1.8485281374238567,0.357537879754125,0.7132438943178467
1.9763851245393156,0.4710162486558782,0.7386298992835029
2.0934343928543266,0.580433512436962,0.7659487646251578
2.197198075472926,0.683601624809632,0.8018262157733135
2.28543213431018,0.7793618110385849,0.8559832386418771
2.356195805954287,0.8676099552990558,0.9430632796453302
2.4079122196116978,0.9492271485335863,1.0834609252589833
2.439417992107444,1.0259221331926969,1.2961390824935446
